np_id,SMILES,target_id,activity_value
NPC102439,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)C[C@H]4C4=CC[C@@H]6[C@@]7(C)CC[C@H](O)[C@@](C)(CO)[C@@H]7CC[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,NPT31,4.698970004336019
NPC102540,COc1cc(O)c2c(c1CC=C(C)C)O[C@H](c1ccc(O)cc1O)CC2,NPT43,2.9084850188786495
NPC102540,COc1cc(O)c2c(c1CC=C(C)C)O[C@H](c1ccc(O)cc1O)CC2,NPT441,1.6020599913279625
NPC103082,Cc1c(O)c(O)cc2c1CC[C@H]1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@H](C)C(=O)[C@@H](O)[C@]3(C)CC[C@]12C,NPT68,4.477121254719663
NPC103268,CC(C)C[C@@H]1N=C(O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)N=C(O)c2csc(n2)CN=C(O)c2csc(n2)[C@H](CCC(=N)O)N=C1O,NPT12,6.658011396657113
NPC103342,COc1c(-c2ccc(O)cc2)oc2cc(O)cc(O)c2c1=O,NPT109,4.558708570533166
NPC103342,COc1c(-c2ccc(O)cc2)oc2cc(O)cc(O)c2c1=O,NPT110,3.6655809910179533
NPC103342,COc1c(-c2ccc(O)cc2)oc2cc(O)cc(O)c2c1=O,NPT319,4.879669205632053
NPC103420,CC(C)=CCc1c(O)ccc2c1O[C@H](c1ccc(O)cc1O)CC2,NPT43,2.1760912590556813
NPC103488,Cc1ccc([C@@H](C)CC(=O)CC(C)C)cc1,NPT204,4.911157608739977
NPC103533,CC(=O)OC[C@H]1O[C@H](CO[C@]2(COC(C)=O)O[C@H](COC(=O)/C=C/c3ccc(O)cc3)[C@H](OC(C)=O)[C@H]2O)[C@H](O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,NPT68,4.763427993562937
NPC10364,C[C@H](CC(=O)C[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)[O-],NPT41,5.28668096935493
NPC103647,C[C@H]1C(=O)CC[C@H]2[C@]3(C)CC[C@@]4(C)[C@@H]5C[C@](C)(CO)CC[C@]5(C)CC[C@]4(C)[C@H]3CC[C@@]21C,NPT68,4.991226075692495
NPC103754,C=C(CO)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,NPT319,0.9637878273455552
